[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:27:25] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:28:50] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:28:50] NORMAL PACKET: From 192.168.56.1 to 239.255.255.250 | UDP Port: 1900
[2025-05-03 17:28:50] NORMAL PACKET: From 192.168.56.1 to 239.255.255.250 | UDP Port: 1900
[2025-05-03 17:28:53] NORMAL PACKET: From 192.168.56.1 to 239.255.255.250 | UDP Port: 1900
[2025-05-03 17:28:53] NORMAL PACKET: From 192.168.56.1 to 239.255.255.250 | UDP Port: 1900
[2025-05-03 17:30:30] NORMAL PACKET: From 192.168.56.1 to 192.168.56.255 | UDP Port: 138
[2025-05-03 17:32:16] NORMAL PACKET: From 192.168.56.1 to 224.0.0.251 | UDP Port: 5353
[2025-05-03 17:42:32] NORMAL PACKET: From 192.168.56.1 to 192.168.56.255 | UDP Port: 138
